sno,title,content,date,author,rating,product_asin,url
1,5.0 out of 5 stars Quality product at a much lower cost.,I have tried more expensive makeup fixatives and this is equal to any of the more expensive products. I particularly like the fine mist and the fact that it doesn't have much odor. Thanks for a great product at such a reasonable price! Read more,23 Aug 2024,Amazon Customer,5.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
2,5.0 out of 5 stars Love it,Works great Read more,30 Sep 2024,Sandy motherofone,5.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
3,4.0 out of 5 stars I like the matte coverage,I like the mat coverage over my make up.  It takes the dewy out of my make up and leave a good finish Read more,29 Sep 2024,cjosea101,4.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
4,3.0 out of 5 stars Does not last a full Eight hours,"I used this product immediately after receiving. I sprayed on both sides of my face and purposely left my forehead shiny and oily. 2hours later I checked my face and both sides of my face had a matte finish and my forehead was still shiny and oily. 6 hours later both sides of my face lost the matte finish. So, it did not last a full 8 hrs. Does not work for me. Read more",15 Jul 2024,Lane,3.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
5,5.0 out of 5 stars Consistent,"I've been using this for close to a year now, the product is consistent. I think it does a great job of keeping makeup on place while allowing a natural glow to come through Read more",05 Nov 2024,Hannah L.,5.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
6,5.0 out of 5 stars Recommend for dry skin,"Really primes, rewets, and sets my face wonderfully Read more",14 Nov 2024,birdie,5.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
7,5.0 out of 5 stars I love it!!,They leave a great glow on my face and my makeup looks great for a long time. Read more,05 Oct 2024,María Cristina Foronda,5.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
8,4.0 out of 5 stars Works great,"This dewy setting spray works well. I'm in the hot, humid, southern US, and it kept my makeup from breaking apart or melting off my face. Gives a natural skin finish, not super dewy. The spray comes out evenly, so misting is a breeze. It smells strongly of coconut, which is the only reason I didn't give 5 stars. Read more",25 Nov 2023,DJDavis,4.0,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
9,,"Ein super Produkt für mich, das Make Up hält den ganzen Tag ohne Glanz. Read more",22 Oct 2024,neftis,,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
10,,"Ho provato questo spray fissante già diverse volte, e devo dire che il trucco non si è mai rovinato, né é mai sbavato, anche in una giornata intera (in particolare su sopracciglia, eye-liner, mascara e correttore). Mi sento di consigliarlo! Read more",11 Oct 2024,Martina,,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
11,,"Don’t normally use primer but good product to start with, goes on skin even and sets a good base. The setting spray has a nice dewy look and make up did stay on longer. Read more",20 Sep 2024,Sarah,,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
12,,"Longue tenue , fini mat ,  un maquillage qui reste frais toute la journée . Top Read more",08 Sep 2024,Élise1982,,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
13,,"Produits plutôt bof, aucun côté matifiant Read more",11 Oct 2024,OPTALY Laken,,B0CTHWQV2R,"https://www.amazon.com/W7-Fixer-Matte-Set-Setting/dp/B0CTHWQV2R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
14,5.0 out of 5 stars Nice for price but VERY bronze.,"It doesn’t take much of this product to give my fair skin a bronze glow, even after building a decent tan. First time I used it I put a few drops of this with no lotion and it was way too dark, but now I just put a drop or 2 in my face moisturizer and it gives me a lovely glow. Almost too warm for my cool skin but it looks good nonetheless! Never tried the drunk elephant drops but from what I can tell this seems relatively comparable and you can’t beat the price. Read more",22 Jun 2024,Aura,5.0,B0CW6PS7QS,"https://www.amazon.com/W7-Golden-Glow-Drops-Bronzing/dp/B0CW6PS7QS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
15,5.0 out of 5 stars Love this!,"I was skeptical before getting these bronzer drops, but this one actually is beautiful on the skin. The bronze color is intense and gives you the perfect sun kissed look. Great product for the price!! Read more",22 Oct 2024,Kc,5.0,B0CW6PS7QS,"https://www.amazon.com/W7-Golden-Glow-Drops-Bronzing/dp/B0CW6PS7QS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
