sno,title,content,date,author,rating,product_asin,url
1,5.0 out of 5 stars Unique!,"What a unique plot line!  With characters you want to meet and situations that are hard to fathom, this book had me gripped from start to finish!  While dark and intense, the characters bring a life of their own that give the story the personal touch needed to carry you through. It’s hard to believe that this beautifully worded book is Tierney’s first.  With a slight hint at the end, I’m hoping to see more of Ava in future stories! Glad that this was a dual read/listen because I didn’t want to put it down!  Thank you to Henry Holt, Macmillan Audio and NetGalley for and ARC and ALC of this book. Read more",12 Nov 2024,Kindle Worm,5.0,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
2,4.0 out of 5 stars Creepy Folklore Mystery,"Ava is not like other 14-year-olds. She has a unique interest in the rate at which different animals decompose. While out collecting roadkill one evening, she stumbles across the body of a fellow classmate, which leads to her making an anonymous call to the police. Ava’s curiosities don’t end there and she finds herself fully enraptured in the case. DEADLY ANIMALS by Marie Tierney is a debut like no other! With smart characters who are so steady in who they are and a creepy mystery drenched in folklore, I found this story so incredibly easy to visualize and found myself sneaking through the woods alongside Ava. I loved the relationship between Ava and Detective Delahaye (give me more more more!!) and I’m hoping we get to see more of this duo in Tierney’s future work! I docked a star for some pacing issues and for guessing who the killer was very early on, but, overall, this was such a fantastic novel! Read more",12 Nov 2024,Hannah O. Christensen,4.0,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
3,5.0 out of 5 stars Fresh approach to crime with a compelling heroine,"An incredible debut. 'Deadly Animals' shines with its fresh approach to crime. Set in 1981 Birmingham, a precocious 13-year-old girl becomes an unlikely expert to a police investigation into the murder of her classmates. Marie Tierney creates as fantastic heroine in Ava, a self-assured autodidactic with an uncanny knowledge of biology, animal decomposition (thanks to her animal body farm), mimicry and illustration. She has a sharp vocabulary, but you can still see how she is still a child. I adored the friendship with her best friend Josh and all the teenage complications that comes with it. DS Seth Delahaye is a persistant but laid back and, refreshingly, is pleased by the Ava's insight and comes to rely upon it. The writing is tight with short sharp chapters, with characters that are absorbing. The pace is perfect with a slow-burn tension. I worked out pretty early who the killer was and I could feel the slow pit of dread as Ava and Seth seperately come to the shocking realisation. This is definitely a top crime book for 2024. I would love to see more Ava, or perhaps a grown up Ava. But I know I'm being greedy. Thanks to Bonnier Books UK/Zaffre and NetGalley for the ARC. Read more",17 Feb 2024,sikonat,5.0,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
4,4.0 out of 5 stars Deadly Animals by Marie Tierney,"Thirteen year old Ava Bonney is unlike most other children her age. She has an intellect way beyond her years and a morbid fascination with death and decay. Her neglectful mother is more interested in her own criminal boyfriend than her young daughters so Ava has plenty of opportunity to indulge her morbid interests. Which she does, creeping out of the house in the dead of night to scoop roadkill from the side of the road and move it to her own animal body farm. One night, checking on a particularly interesting specimen, Ava makes a startling discovery. The body of a fourteen-year-old boy from her school. But this is only the start. A sadistic killer is at work in Ava’s community targeting young boys. Ava watches as the police struggle to link the evidence and repeatedly fail to catch the culprit. Realising they need her help and knowledge, she takes it upon herself to assist. Can a thirteen-year-old girl stop a vicious killer before more local children meet a horrific, grisly end…? Deadly Animals is a superb debut novel from a writer to watch. Crime fiction fans, get this book on your radar and do everything in your power to get hold of a copy. Ava Bonney is very different to her classmates. Many see her as weird, whereas a small number of people see how exceptionally bright and switched on she really is. One of those people being Detective Seth Delahaye. I’ve read a number of other reviews of this book and one of the things which stands out is how fond and how much readers admire the character of Ava. And I agree. She’s beyond her years and incredibly astute. As the main character in this tale, she totally steals the show. But for me, my favourite character was Detective Delahaye. There’s a kindness and an understanding there that I immediately warmed to. Whilst many of his police colleagues aren’t prepared to listen to what a thirteen year old girl thinks, Delahaye does the opposite. He listens, he takes heed. He risks his career and his reputation and because of that decision to trust his gut, they finally start to make progress in the case. Would I recommend this book? I would, yes. Deadly Animals is a slow-burn character driven crime fiction novel where the plot moves at an enticing pace and takes the reader down an unexpected path. The characters and their beautifully scripted relationships absolutely made this novel for me. I loved the friendship between Ava and John. The two besties forensically examine the evidence before them (what little they have as minors and civilians!), coming up with workable theories which they then pass onto the police via anonymous phone calls (cue Mrs Poshy-Snob, one of Ava’s many character creations!). I enjoyed that the book was set in the early 1980s and that the setting was Birmingham. I firmly believed in the Birmingham the author paints for her readers. It’s a dark tale with a fairly large twist in the tale. I certainly didn’t see the details of the twist coming but I was highly suspicious of one character from fairly early on. It turned out I was right to be suspicious. Despite guessing whodunit my enjoyment wasn’t spoilt at all — I appreciated that the author decided to take her story in a very different direction. It makes the book stand out in my memory even more. All in all, Deadly Animals is a gripping, engaging story with strong characters and an intriguing, different edge to it. A well-written debut, original and beautifully dark. I will be looking out for more from this author in the future. Recommended. Read more",23 Feb 2024,damppebbles,4.0,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
5,,"I absolutely loved this book. It was so well written, I can't believe that this is the author's first book. It was creepy and suspenseful with an amazing lead character in 13 year old Ava. I live where the book is set and my children went to the same school as Ava and this made me feel much more emotionally invested. I hope we meet Ava again in other books Read more",23 Sep 2024,Crime fiction lover,,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
6,,Amazing read. Very different to my usual thrillers and I enjoyed it more because of that. Usually child protagonists are a bit much but this was no ordinary child Read more,04 Sep 2024,Bec,,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
7,,I was lucky enough to be gifted a copy of this from my online book club. It had a really brilliant storyline. Ava's character was great. This isn't my usual genre and probably not the type of book that I would read again. But that is my preference and not against the book. It was very well written and I can see why it has won prizes. I have passed the book on to my daughter who loves this genre and she is really enjoying reading it. So all in all a pretty exceptional book. Read more,01 Oct 2024,Mrs D,,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
8,,"Brilliant. One of the best books I’ve read this year. Macabre but amazing. The plot would sound bonkers if I explained it but at no point did it feel that way as I devoured (pun not intended!) this book. The characters are fantastic and well rounded. It is about community, family and how animals are kinder to us than people. If you are ok with some gore then read it. You will not be disappointed. Read more",22 Sep 2024,A. Reader,,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
9,,"I loved the writing and the short chapters, while I guessed the killer quite early on, I enjoyed going along the storyline to find out how the characters were going to work it out. I would have loved more with Ava's point of view, it felt we lost sight of her towards the last part of the book. Great police characters too. Read more",11 Nov 2024,dylan mcburney,,B0CQHMTW4X,"https://www.amazon.com/Deadly-Animals-Novel-Marie-Tierney-ebook/dp/B0CQHMTW4X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
10,5.0 out of 5 stars Wonderful stories and truths - How Great is that?,There are no disappointments in this wonderful autobiography! You know when someone whose work you love writes a blah-blah book - and you’re heartbroken? This is not that! Ina Garten fans (like me!!) can rest assured that this book delivers on all levels - and she shares some classic recipes to boot. I also love Mrs. Garten’s attention to telling the uncomfortable truths of her real life - and with so much wisdom. This book was a wonderful read but also super helpful. You just want to go hang out with her!! Thank you. Read more,29 Oct 2024,Customer,5.0,B0CW1HXGNY,"https://www.amazon.com/Be-Ready-When-Luck-Happens-ebook/dp/B0CW1HXGNY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
